Reference,Journal_name,Publication_year,Experiment_year,IF,Data_details,Variable_name,Variable_identity,Plant_species,Plant_status,Herbivore_feeding_guild,cor,n,zr,var,Bio_var
Abarca & Lill 2018,Ecological Entomology,2018,2013,2.1,Data from Table 1,Egg mass prevalence,Herbivore abundance,Prunus serotina,Native,Defoliators,0.3407762385756927,6,0.35497049197458685,0.3333333333333333,Bio_1
Abarca & Lill 2018,Ecological Entomology,2018,2013,2.1,Data from Table 1,Egg masses per tree (mean ± SE),Herbivore abundance,Prunus serotina,Native,Defoliators,0.6880584662451242,6,0.8442592662595343,0.3333333333333333,Bio_1
Abarca et al. 2018,Oecologia,2018,2014,2.8,Data from Figure 3,Caterpillar survival,Herbivore abundance,Prunus serotina,Native,Defoliators,0.8870418371089747,10,1.4078741030487492,0.14285714285714285,Bio_1
Abdala-Roberts et al. 2016,American Journal of Botany,2016,2015,3.2,Data from Figure 2A and Supporting Information,Proportion damaged leaves,Herbivory,Quercus robur,Native,All folivores,-0.43173576745954473,20,-0.46202815093977956,0.058823529411764705,Bio_1
Abdala-Roberts et al. 2016,Journal of Ecology,2016,2013,6.1,Data from Figure 1(a),Fruit attack,Herbivory,Ruellia nudiflora,Native,Seed feeders,-0.05084308445055017,28,-0.05088696264338098,0.04,Bio_1
Abdala-Roberts et al. 2016,Journal of Ecology,2016,2013,6.1,Data from Figure 1(b),Leaf herbivory,Herbivory,Ruellia nudiflora,Native,Defoliators,-0.3513031538671722,29,-0.3669296033057596,0.038461538461538464,Bio_1
Abdala-Roberts et al. 2019,American Journal of Botany,2019,2019,3.2,Data from Appendix S2,Number of chewing herbivores,Herbivory,Gossypium hirsutum,Native,Defoliators,0.5151828673045241,25,0.5697598206508206,0.045454545454545456,Bio_1
Abdala-Roberts et al. 2019,American Journal of Botany,2019,2019,3.2,Data from Appendix S2,Percent leaf herbivory,Herbivory,Gossypium hirsutum,Native,Defoliators,-0.06915777489410925,25,-0.069268348263211,0.045454545454545456,Bio_1
Adams et al. 2009a,Biological Invasions,2009,2004,3.1,Data from Figure 3,Total leaf herbivory damage (%),Herbivory,Acer platanoides,Native,All folivores,-0.4741803916271406,31,-0.5154496217925159,0.03571428571428571,Bio_1
Adams et al. 2009a,Biological Invasions,2009,2004,3.1,Data from Figure 3,Total leaf herbivory damage (%),Herbivory,Acer platanoides,Non-native,All folivores,0.13849929881019477,21,0.13939519986471752,0.05555555555555555,Bio_1
