"Reference","Journal_name","Publication_year","Experiment_year","IF","Data_details","Variable_name","Variable_identity","Plant_species","Plant_status","Herbivore_feeding_guild","cor","n","zr","var"
"Abarca & Lill 2018","Ecological Entomology",2018,2013,2.1,"Data from Table 1","Egg mass prevalence","Herbivore abundance","Prunus serotina","Native","Defoliators",-0.318305424912875,6,-0.329760350709423,0.333333333333333
"Abarca & Lill 2018","Ecological Entomology",2018,2013,2.1,"Data from Table 1","Egg masses per tree (mean ± SE)","Herbivore abundance","Prunus serotina","Native","Defoliators",-0.688043866331722,6,-0.844231540636937,0.333333333333333
"Abarca et al. 2018","Oecologia",2018,2014,2.8,"Data from Figure 3","Caterpillar survival","Herbivore abundance","Prunus serotina","Native","Defoliators",-0.84350946718971,10,-1.23321541908944,0.142857142857143
"Abdala-Roberts et al. 2016","American Journal of Botany",2016,2015,3.2,"Data from Figure 2A and Supporting Information","Proportion damaged leaves","Herbivory","Quercus robur","Native","All folivores",-0.308677970756089,20,-0.319083487576405,0.0588235294117647
"Abdala-Roberts et al. 2016","Journal of Ecology",2016,2013,6.1,"Data from Figure 1(a)","Fruit attack","Herbivory","Ruellia nudiflora","Native","Seed feeders",0.347211374424172,28,0.362269353510888,0.04
"Abdala-Roberts et al. 2016","Journal of Ecology",2016,2013,6.1,"Data from Figure 1(b)","Leaf herbivory","Herbivory","Ruellia nudiflora","Native","Defoliators",-0.606280462763775,29,-0.703018846105384,0.0384615384615385
"Abdala-Roberts et al. 2019","American Journal of Botany",2019,2019,3.2,"Data from Appendix S2","Number of chewing herbivores","Herbivory","Gossypium hirsutum","Native","Defoliators",-0.482822677438386,26,-0.52665848271902,0.0434782608695652
"Abdala-Roberts et al. 2019","American Journal of Botany",2019,2019,3.2,"Data from Appendix S2","Percent leaf herbivory","Herbivory","Gossypium hirsutum","Native","Defoliators",-0.111020829650436,26,-0.111480366606327,0.0434782608695652
"Adams et al. 2009a","Biological Invasions",2009,2004,3.1,"Data from Figure 3","Total leaf herbivory damage (%)","Herbivory","Acer platanoides","Native","All folivores",0.198581241303431,31,0.201255116029854,0.0357142857142857
"Adams et al. 2009a","Biological Invasions",2009,2004,3.1,"Data from Figure 3","Total leaf herbivory damage (%)","Herbivory","Acer platanoides","Non-native","All folivores",-0.28795078073522,21,-0.296330327507821,0.0555555555555556
"Adams et al. 2009a","Biological Invasions",2009,2005,3.1,"Data from Figure 3","Total leaf herbivory damage (%)","Herbivory","Acer platanoides","Native","All folivores",0.0392965253580692,34,0.0393167715730356,0.032258064516129
"Adams et al. 2009a","Biological Invasions",2009,2005,3.1,"Data from Figure 3","Total leaf herbivory damage (%)","Herbivory","Acer platanoides","Non-native","All folivores",-0.483554686195725,20,-0.527613448728863,0.0588235294117647
"Adams et al. 2009b","Ecological Research",2009,2005,2,"Data from Figure 6","Total Herbivory % Leaf Area Loss","Herbivory","Liquidambar styraciflua","Native","All folivores",-0.214969225416965,10,-0.218375553137235,0.142857142857143
"Adams et al. 2009b","Ecological Research",2009,2005,2,"Data from Figure 6","Total Herbivory % Leaf Area Loss","Herbivory","Quercus alba","Native","All folivores",0.157890158061007,18,0.159222169710544,0.0666666666666667
"Adams et al. 2009b","Ecological Research",2009,2005,2,"Data from Figure 7a","Total Herbivory % Leaf Area Loss","Herbivory","Acer rubrum","Native","All folivores",0.175278957537156,21,0.177107805131535,0.0555555555555556
"Adams et al. 2009b","Ecological Research",2009,2005,2,"Data from Figure 7b","Total Herbivory % Leaf Area Loss","Herbivory","Fagus grandifolia","Native","All folivores",0.134323112137975,16,0.135139822402685,0.0769230769230769
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 2","% herbivory/3 months","Herbivory","Acacia falcata","Native","All folivores",-0.346443947032544,4,-0.361396989939554,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 2","% herbivory/3 months of chewing","Herbivory","Acacia falcata","Native","Defoliators",-0.24113349491667,4,-0.245977235282011,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 2","% herbivory/3 months of mining","Herbivory","Acacia falcata","Native","Miners",0.675099295566886,4,0.820054056305622,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 2","% herbivory/3 months of sap-sucking","Herbivory","Acacia falcata","Native","Sap feeders",-0.732294570151558,4,-0.933657458076071,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory chewing (Expanding)","Herbivory","Acacia falcata","Native","Defoliators",-0.372502274275733,4,-0.39132539187912,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory chewing (Mature)","Herbivory","Acacia falcata","Native","Defoliators",0.707242062484492,4,0.881644201395072,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory mining (Expanding)","Herbivory","Acacia falcata","Native","Miners",0.286681124295653,4,0.294946429394321,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory mining (Mature)","Herbivory","Acacia falcata","Native","Miners",0.906500124457775,4,1.50753216969191,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory sap-sucking (Expanding)","Herbivory","Acacia falcata","Native","Sap feeders",0.719270659599732,4,0.906132220514058,1
"Andrew & Hughes 2005","Oikos",2005,2001,3.6,"Data from Figure 3","Herbivory sap-sucking (Mature)","Herbivory","Acacia falcata","Native","Sap feeders",0.562087439821871,4,0.635879526040944,1
"Andrew & Hughes 2007","Global Change Biology",2007,2002,13,"Data from Figure 4","% herbivory/ 12 months","Herbivory","Acacia falcata","Native","All folivores",0.0307851356522285,5,0.030794866462661,0.5
